保険者番号,独自サービス種類コード,独自サービス項目コード,適用開始年月,適用終了年月,独自サービス名称,単位数,算定単位,制限日数回数,算定回数制限期間,支給限度額対象区分,予備項目,給付率,利用者負担額,事業対象者実施区分,要支援１受給者実施区分,要支援２受給者実施区分,要介護１受給者実施区分,要介護２受給者実施区分,要介護３受給者実施区分,要介護４受給者実施区分,要介護５受給者実施区分,国保連合会委託区分,作成年月日
122374,A2,6269,202606,999999,訪問型独自サービス処遇改善加算Ⅰ１,270,3,,,,,,,2,2,2,,,,,,1,20260601
122374,A2,6269,202406,202605,訪問型独自サービス処遇改善加算Ⅰ,245,3,,,,,,,2,2,2,,,,,,1,20240601
122374,A2,6183,202606,999999,訪問型独自サービス処遇改善加算Ⅰ２,287,3,,,,,,,2,2,2,,,,,,1,20260601
122374,A2,6270,202606,999999,訪問型独自サービス処遇改善加算Ⅱ１,249,3,,,,,,,2,2,2,,,,,,1,20260601
122374,A2,6270,202406,202605,訪問型独自サービス処遇改善加算Ⅱ,224,3,,,,,,,2,2,2,,,,,,1,20240601
122374,A2,6184,202606,999999,訪問型独自サービス処遇改善加算Ⅱ２,266,3,,,,,,,2,2,2,,,,,,1,20260601
122374,A2,6271,202606,999999,訪問型独自サービス処遇改善加算Ⅲ,207,3,,,,,,,2,2,2,,,,,,1,20260601
122374,A2,6271,202406,202605,訪問型独自サービス処遇改善加算Ⅲ,182,3,,,,,,,2,2,2,,,,,,1,20240601
122374,A2,6380,202606,999999,訪問型独自サービス処遇改善加算Ⅳ,170,3,,,,,,,2,2,2,,,,,,1,20260601
122374,A2,6380,202406,202605,訪問型独自サービス処遇改善加算Ⅳ,145,3,,,,,,,2,2,2,,,,,,1,20240601
122374,A2,6381,202406,202503,訪問型独自サービス処遇改善加算Ⅴ１,221,3,,,,,,,2,2,2,,,,,,1,20240601
122374,A2,6382,202406,202503,訪問型独自サービス処遇改善加算Ⅴ２,208,3,,,,,,,2,2,2,,,,,,1,20240601
122374,A2,6383,202406,202503,訪問型独自サービス処遇改善加算Ⅴ３,200,3,,,,,,,2,2,2,,,,,,1,20240601
122374,A2,6384,202406,202503,訪問型独自サービス処遇改善加算Ⅴ４,187,3,,,,,,,2,2,2,,,,,,1,20240601
122374,A2,6385,202406,202503,訪問型独自サービス処遇改善加算Ⅴ５,184,3,,,,,,,2,2,2,,,,,,1,20240601
122374,A2,6386,202406,202503,訪問型独自サービス処遇改善加算Ⅴ６,163,3,,,,,,,2,2,2,,,,,,1,20240601
122374,A2,6387,202406,202503,訪問型独自サービス処遇改善加算Ⅴ７,163,3,,,,,,,2,2,2,,,,,,1,20240601
122374,A2,6388,202406,202503,訪問型独自サービス処遇改善加算Ⅴ８,158,3,,,,,,,2,2,2,,,,,,1,20240601
